industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Insurance,335795.0,,2020-05-12,Product_2,100 - 500 Million,Category 2,India,Muzaffarpur,kiran,SVP/General Counsel,Glass blower/designer,Contact Email,Level 3,No track,"Salyers,Daniel L",No,2,107.34
Services,290743.0,1744458.0,2020-05-13,Product_1,100 - 500 Million,Category 1,USA,"Warner Robins, GA",Robert Fox,SVP/General Counsel,Homeopath,Others,Level 1,5 days back,"Dimattia,Frank D",Yes,1,65.7
Banks,214219.0,1242470.2,2020-05-13,Product_2,500 Million - 1 Billion,Category 2,USA,"Lincoln, NE",Michael Moyer,CEO,Ecologist,Others,Level 2,More than 2 weeks,"Logan,Kevin N",No,2,67.3
Warehousing/Logistics,444805.0,2780031.25,2020-05-13,Product_1,50 - 100 Million,Category 4,USA,"York-Hanover, PA",John Jacobs,CEO,Fashion designer,Marketing Event,Level 1,More than a week back,"Kiepea,Prince A",No,1,63.7
Photography,368597.0,2709187.95,2020-05-13,Product_2,100 - 500 Million,Category 1,USA,"Memphis, TN-MS-AR",Katherine Thompson,CEO,Associate Professor,Marketing Event,Level 3,No track,"Rocks,Michael J",Yes,5,77.4
Materials/Manufacturing,498668.0,2917207.8,2020-05-13,Product_1,50 - 100 Million,Category 3,India,Patiala,sonam,CEO,"Conservation officer, historic buildings",Others,Level 2,No track,"Salyers,Daniel L",No,5,62.2
Other,93703.0,609069.5,2020-05-13,Product_1,100 - 500 Million,Category 3,India,Cuttack,amijan,CEO,Brewing technologist,Website,Level 3,No track,"Cash,Tyrone J",,4,65.6
Online Banking,307784.0,1939039.2,2020-05-13,Product_2,100 - 500 Million,Category 3,,Aligarh,priya @ sonu,CEO,Firefighter,Website,Level 3,Up-to-date,"Murray,Younetta",Yes,2,107.34
Banks,171577.0,,2020-05-13,Product_2,100 - 500 Million,Category 1,USA,"Santa Cruz-Watsonville, CA",Elizabeth Garcia,SVP/General Counsel,Fashion designer,Contact Email,Level 3,2 days back,"Georgakopoulos,Vasilios T",Yes,4,26.35
Apparel Retail,315380.0,2128815.0,2020-05-13,Product_1,100 - 500 Million,Category 1,India,Ahmadnagar,nirmla devi,SVP/General Counsel,Science writer,Marketing Event,Level 3,2 days back,"Irizarry,Yolanda",No,2,26.35
Banks,32797.0,198421.85,2020-05-13,Product_1,50 - 100 Million,Category 1,,Gaya,smt. sabra @ jamsida,CEO,Barrister's clerk,Marketing Event,Level 2,2 days back,"Gould,Lisa D",Yes,1,58.900000000000006
BioTech/Drugs,271413.0,1587766.05,2020-05-13,Product_1,50 - 100 Million,Category 1,India,Porbandar,neetu,CEO,Chief Marketing Officer,Others,Level 2,No track,"Davis,Brian R",No,2,59.900000000000006
Banks,86052.0,529219.8,2020-05-13,Product_1,100 - 500 Million,Category 3,India,Nagercoil,manisha garg,CEO,Ceramics designer,Contact Email,Level 3,No track,"Knox,Antonio D",No,2,58.8
Peripherals/Comp.,40125.0,250781.25,2020-05-14,Product_1,500 Million - 1 Billion,Category 4,USA,"Auburn-Opelika, AL",Paul Robinson,CEO,"Copywriter, advertising",Website,Level 1,More than 2 weeks,"Jones,Eyvette W",No,2,62.900000000000006
Medical Equipment,67835.0,407010.0,2020-05-14,Product_1,500 Million - 1 Billion,Category 4,India,Raichur,savita,CEO,International aid/development worker,Others,Level 2,More than a week back,"Pappas,Mark S",No,2,56.3
Financial Services,93289.0,601714.05,2020-05-14,Product_1,100 - 500 Million,Category 2,USA,"Goldsboro, NC",Taylor Horton,CEO,Music tutor,Marketing Event,Level 3,No track,"Hanyok,John J",No,2,70.6
Banks,248708.0,1479812.6,2020-05-14,Product_2,500 Million - 1 Billion,Category 2,India,Bijapur,laxmi,CEO,Exhibition designer,Website,Level 2,Up-to-date,"Booker,David L",Yes,1,62.6
Banks,342459.0,1969139.25,2020-05-14,Product_2,50 - 100 Million,Category 2,India,Diu,laxmi,SVP/General Counsel,Senior tax professional/tax inspector,Marketing Event,Level 1,more than a month,"Robinson,John C",Yes,4,61.900000000000006
Electronics,72231.0,,2020-05-14,Product_1,100 - 500 Million,Category 3,USA,"St. Cloud, MN",Ashlee Moran,SVP/General Counsel,"Surveyor, hydrographic",Contact Email,Level 3,2 days back,"Himes,Maurice C",No,5,26.35
Software Consulting,350393.0,2277554.5,2020-05-14,Product_2,500 Million - 1 Billion,Category 4,USA,"Blacksburg-Christiansburg-Radford, VA",Teresa Bush,SVP/General Counsel,Clothing/textile technologist,Others,Level 2,?,"Ryker,David",No,3,68.5
REIT,55326.0,390048.3,2020-05-14,Product_1,100 - 500 Million,Category 4,USA,"Grand Rapids-Wyoming, MI",Molly Rogers,CEO,Information officer,Contact Email,Level 3,,"Abdul-Hamid,Saud Muhamad",No,5,26.35
Apparel Retail,390909.0,2345454.0,2020-05-15,Product_2,500 Million - 1 Billion,Category 2,India,Shimla,mohseena,CEO,"Buyer, industrial",Contact Email,Level 2,No track,"Dunaway,Antoine",No,4,62.2
Vitamins/Nutritionals/Other,417295.0,2816741.25,2020-05-15,Product_2,100 - 500 Million,Category 3,USA,"College Station-Bryan, TX",Kelsey Arnold,SVP/General Counsel,Geophysicist/field seismologist,Marketing Event,Level 3,more than a month,"Morsy,Omar A",No,3,72.3
Telecom Hardware,141883.0,986086.85,2020-05-15,Product_2,100 - 500 Million,Category 4,India,Porbandar,ku. puja,CEO,Associate Professor,Contact Email,Level 3,?,"Featherstone,Adrian R",No,5,63.6
Other,389281.0,2277293.85,2020-05-15,Product_2,50 - 100 Million,Category 3,,Alipurduar,akhtari @ muskan,CEO,Chief Marketing Officer,Others,Level 2,5 days back,"Tondeur,Keith D",Yes,5,62.2
MSPs (Mgmt),410683.0,,2020-05-15,Product_1,500 Million - 1 Billion,Category 3,,Kagaznagar,sangeeta @  pooja,CEO,Sales executive,Marketing Event,Level 1,More than a week back,"Georgakopoulos,Vasilios T",Yes,4,62.3
Insurance,68212.0,450199.2,2020-05-15,Product_2,100 - 500 Million,Category 1,,Kavaratti,anita,SVP/General Counsel,Retail banker,Website,Level 3,No track,"Dyson,William A",Yes,1,26.35
Banks,176177.0,1065870.85,2020-05-15,Product_2,50 - 100 Million,Category 4,USA,"Pittsburgh, PA",Lisa Curry,CEO,Mechanical engineer,Others,Level 1,No track,"Hameier,Kurt E",Yes,3,64.9
Construction Services,294328.0,1927848.4,2020-05-15,Product_1,500 Million - 1 Billion,Category 2,,Hapur,smt baleshwari,CEO,Higher education careers adviser,Marketing Event,Level 3,No track,"Young,Valerie K",Yes,4,68.2
Other Investment Firms,76154.0,487385.6,2020-05-15,Product_1,100 - 500 Million,Category 1,,Ahmedabad,pinki,SVP/General Counsel,"Scientist, biomedical",Marketing Event,Level 2,more than a month,"Knox,Antonio D",Yes,1,107.34
Banks,345568.0,2159800.0,2020-05-15,Product_2,50 - 100 Million,Category 1,India,Shahbazpur,puja sawariya,CEO,Retail merchandiser,Marketing Event,Level 1,More than 2 weeks,"Cashin,Marc C",No,4,63.400000000000006
Banks,188036.0,1203430.4,2020-05-15,Product_1,50 - 100 Million,Category 4,India,Varanasi,ruksar,CEO,Statistician,Contact Email,Level 3,More than 2 weeks,"Houston,Arnold E",Yes,2,57.8
Banks,355896.0,2277734.4,2020-05-15,Product_2,100 - 500 Million,Category 1,India,Diu,sarika,SVP/General Counsel,Insurance broker,Marketing Event,Level 1,No track,"Knox,Antonio D",No,3,63.900000000000006
Banks,74016.0,,2020-05-16,Product_2,500 Million - 1 Billion,Category 4,USA,"Merced, CA",Jessica Sanchez,CEO,"Teacher, special educational needs",Contact Email,Level 2,,"Cashin,Marc C",No,3,65.2
Insurance,6355.0,41625.25,2020-05-16,Product_2,500 Million - 1 Billion,Category 2,USA,"Sioux City, IA-NE-SD",Amanda Holder,SVP/General Counsel,"Production assistant, television",Marketing Event,Level 3,No track,"Georgakopoulos,Vasilios T",Yes,4,72.2
Other Consulting,112462.0,702887.5,2020-05-16,Product_1,50 - 100 Million,Category 1,India,Jabalpur,kumari sunita,SVP/General Counsel,Research scientist (physical sciences),Marketing Event,Level 2,No track,"Shelton,Sidney P",Yes,1,107.34
Banks,256777.0,1681889.35,2020-05-16,Product_2,50 - 100 Million,Category 4,India,Kurnool,smt kavita w/o ganesh harijan,CEO,"Biochemist, clinical",Website,Level 3,,"Leu,Darren L",Yes,2,61.400000000000006
Restaurants,482666.0,2895996.0,2020-05-16,Product_1,500 Million - 1 Billion,Category 2,,Ajmer,rachnu,SVP/General Counsel,"Copywriter, advertising",Marketing Event,Level 1,No track,"Heidelberg,Andre D",Yes,3,63.8
Biotech/Healthcare,171805.0,1125322.75,2020-05-16,Product_1,100 - 500 Million,Category 1,India,Bhagalpur,harpreet kaur,CEO,Chartered legal executive (England and Wales),Others,Level 3,more than a month,"Irizarry,Yolanda",Yes,3,107.34
Health/Accident,490725.0,2968886.25,2020-05-16,Product_2,100 - 500 Million,Category 2,USA,"College Station-Bryan, TX",Christopher Wilkins,CEO,Trade mark attorney,Website,Level 1,More than a week back,"Jones,Michael L",No,4,69.7
Aerospace/Defense,180377.0,1145393.95,2020-05-16,Product_2,50 - 100 Million,Category 3,USA,"Altoona, PA",Taylor Hale,SVP/General Counsel,Higher education lecturer,Website,Level 3,No track,"Cash,Tyrone J",Yes,2,-5.0
Software,120345.0,716052.75,2020-05-16,Product_2,100 - 500 Million,Category 3,India,Rajahmundry,jyoti,CEO,"Accountant, chartered certified",Website,Level 1,More than 2 weeks,"Vickers Jr.,Henry J",Yes,3,61.2
Banks,463472.0,3244304.0,2020-05-16,Product_2,500 Million - 1 Billion,Category 1,USA,"Bremerton-Silverdale, WA",Stacy Mason,SVP/General Counsel,Financial trader,Website,Level 3,,"Hebron,Artenia D",Yes,1,73.8
Insurance,231696.0,1621872.0,2020-05-17,Product_2,500 Million - 1 Billion,Category 1,India,Vishakhapatnam,jyoti gaba,SVP/General Counsel,"Engineer, electronics",Website,Level 3,?,"Logan,Kevin N",Yes,3,70.0
Real Estate,152751.0,939418.65,2020-05-17,Product_1,100 - 500 Million,Category 3,USA,"Oxnard-Thousand Oaks-Ventura, CA",Pamela Mcconnell,SVP/General Counsel,Civil Service fast streamer,Others,Level 3,More than a week back,"Shelton,Sidney P",No,2,107.34
Banks,463745.0,,2020-05-17,Product_2,50 - 100 Million,Category 2,USA,"Hilton Head Island-Bluffton-Beaufort, SC",Leslie White,CEO,"Pharmacist, community",Website,Level 3,No track,"Young,Valerie K",Yes,3,73.6
Recreational Services,472015.0,3091698.25,2020-05-17,Product_2,100 - 500 Million,Category 3,USA,"Dover, DE",Christopher Doyle,SVP/General Counsel,"Administrator, education",Marketing Event,Level 3,Up-to-date,"Houston,Arnold E",Yes,1,69.1
Entertainment/Media,343529.0,2542114.6,2020-05-17,Product_1,500 Million - 1 Billion,Category 1,USA,"Lancaster, PA",Paula Jackson,CEO,Sales executive,Website,Level 3,Up-to-date,"Dimattia,Frank D",Yes,5,79.1
Banks,221414.0,1417049.6,2020-05-17,Product_2,100 - 500 Million,Category 4,USA,"Sebastian-Vero Beach, FL",Anthony Harris,SVP/General Counsel,"Engineer, broadcasting (operations)",Others,Level 2,No track,"Charles,Caleb",No,3,67.1
Other Biz Services,41815.0,257162.25,2020-05-17,Product_1,100 - 500 Million,Category 3,USA,"Roanoke, VA",Nancy Davis,CEO,Health service manager,Contact Email,Level 3,More than 2 weeks,"Meli,Teresa V",No,1,62.8
Banks,442208.0,2454254.4,2020-05-17,Product_2,50 - 100 Million,Category 2,USA,"Vallejo-Fairfield, CA",Melissa Jones,SVP/General Counsel,Waste management officer,Others,Level 1,Up-to-date,"Dyson,William A",Yes,4,66.9
Staffing,97418.0,642958.8,2020-05-17,Product_2,500 Million - 1 Billion,Category 3,USA,"Ames, IA",Terry Castillo,CEO,"Scientist, physiological",Website,Level 3,No track,"Meli,Teresa V",Yes,2,70.8
Personal Services,36967.0,249527.25,2020-05-17,Product_1,100 - 500 Million,Category 1,USA,"Topeka, KS",Nicole Mcguire,CEO,Writer,Website,Level 2,More than 2 weeks,"Thomas,Lori E",No,5,107.34
Internet Consulting,420687.0,2439984.6,2020-05-18,Product_2,100 - 500 Million,Category 4,India,Rajahmundry,kamlesh,CEO,Fish farm manager,Others,Level 1,,"Kiepea,Prince A",Yes,2,55.2
Banks,3197.0,18702.45,2020-05-18,Product_2,50 - 100 Million,Category 3,India,Nandyal,shehnaz,SVP/General Counsel,Psychiatric nurse,Marketing Event,Level 2,No track,"Charles,Caleb",No,4,59.1
Construction Services,160800.0,996960.0,2020-05-18,Product_2,50 - 100 Million,Category 3,USA,"Santa Fe, NM",Julie Anderson,CEO,IT trainer,Contact Email,Level 3,No track,"Leu,Darren L",No,2,65.3
Banks,304032.0,1884998.4,2020-05-18,Product_1,50 - 100 Million,Category 3,India,Tonk,rambai,CEO,"Secretary, company",Marketing Event,Level 3,?,"Rocks,Michael J",Yes,1,26.35
Insurance,298696.0,,2020-05-18,Product_2,100 - 500 Million,Category 1,India,Gurugram,varsa,CEO,"Engineer, control and instrumentation",Website,Level 2,No track,"Jones,Michael L",Yes,4,65.9
Banks,316675.0,,2020-05-18,Product_2,100 - 500 Million,Category 2,USA,"Amarillo, TX",Amanda Johnson,CEO,Television floor manager,Others,Level 3,More than a week back,"Logan,Kevin N",No,1,68.6
Financial Services,208440.0,,2020-05-18,Product_1,500 Million - 1 Billion,Category 3,USA,"Phoenix-Mesa-Scottsdale, AZ",Henry Coleman,CEO,Psychiatric nurse,Others,Level 2,Up-to-date,"Georgakopoulos,Vasilios T",No,4,69.0
Finance,305963.0,1789883.55,2020-05-18,Product_1,50 - 100 Million,Category 3,USA,"Santa Maria-Santa Barbara, CA",Lucas Richardson,CEO,Clinical cytogeneticist,Contact Email,Level 1,Up-to-date,"Dunaway,Antoine",No,3,64.1
Associations,324010.0,2008862.0,2020-05-18,Product_1,50 - 100 Million,Category 3,India,Tirupati,muskan,SVP/General Counsel,Water quality scientist,Website,Level 2,No track,"Himes,Maurice C",Yes,5,64.5
Banks,107399.0,692723.55,2020-05-18,Product_1,500 Million - 1 Billion,Category 1,USA,"Dubuque, IA",Jeffrey Sweeney MD,CEO,"Civil engineer, contracting",Website,Level 1,More than 2 weeks,"Green,Candy",No,1,69.4
Financial Services,420207.0,2689324.8,2020-05-19,Product_2,50 - 100 Million,Category 1,India,Jhansi,anju,CEO,Museum/gallery exhibitions officer,Others,Level 3,More than 2 weeks,"Thomas,Lori E",Yes,4,65.8
Banks,459620.0,2757720.0,2020-05-19,Product_2,100 - 500 Million,Category 4,India,Nandyal,smt. lalita devi,SVP/General Counsel,"Administrator, Civil Service",Others,Level 2,More than a week back,"Vickers Jr.,Henry J",Yes,2,56.900000000000006
Staffing,497864.0,3261009.2,2020-05-19,Product_1,100 - 500 Million,Category 4,India,Guntur,bimlesh,CEO,Biomedical engineer,Contact Email,Level 3,More than 2 weeks,"Davis,Sharrice A",Yes,1,58.3
MSPs (Mgmt),19170.0,115020.0,2020-05-19,Product_2,50 - 100 Million,Category 1,India,Jaipur,kamlesh kumari,SVP/General Counsel,Financial trader,Website,Level 2,More than a week back,"Sutton,Michelle R",No,2,59.2
REIT,484161.0,3098630.4,2020-05-19,Product_1,50 - 100 Million,Category 4,India,Gwalior,kiran,CEO,Tourism officer,Contact Email,Level 3,5 days back,"Shelton,Sidney P",No,2,57.8
Lending/Mortgage,23443.0,141830.15,2020-05-19,Product_1,100 - 500 Million,Category 2,India,Panaji,suman,CEO,Science writer,Marketing Event,Level 3,No track,"Thomas,Lori E",No,1,60.6
Investment Bank/Brokerage,388699.0,2351628.95,2020-05-19,Product_1,50 - 100 Million,Category 3,USA,"Reading, PA",Crystal Burke,CEO,English as a second language teacher,Marketing Event,Level 2,More than 2 weeks,"Cash,Tyrone J",No,1,65.9
Staffing,356589.0,2353487.4,2020-05-19,Product_2,50 - 100 Million,Category 1,India,Abohar,vineeta,CEO,Phytotherapist,Marketing Event,Level 3,No track,"Hameier,Kurt E",No,2,64.6
Healthcare Facilities/Services,85344.0,584606.4,2020-05-19,Product_1,100 - 500 Million,Category 2,USA,"Williamsport, PA",Trevor Roy,CEO,Best boy,Marketing Event,Level 3,No track,"Gilley,Janine",No,5,75.9
Real Estate,262889.0,1656200.7,2020-05-19,Product_2,500 Million - 1 Billion,Category 1,India,Muzaffarpur,pooja,SVP/General Counsel,Music tutor,Others,Level 1,No track,"Featherstone,Adrian R",No,5,65.4
Software,,1167666.85,2020-05-19,Product_1,500 Million - 1 Billion,Category 1,India,Bhagalpur,gajala,CEO,Minerals surveyor,Contact Email,Level 3,No track,"Moran,Natalie A",Yes,2,63.2
Insurance,114545.0,692997.25,2020-05-19,Product_2,50 - 100 Million,Category 1,,Shimoga,babita,SVP/General Counsel,"Civil engineer, consulting",Contact Email,Level 2,Up-to-date,"Van Arter,Derrick",Yes,2,58.6
Insurance,361585.0,2223747.75,2020-05-19,Product_1,500 Million - 1 Billion,Category 2,India,Ludhiana,nandu bai,CEO,Geophysical data processor,Contact Email,Level 3,?,"Pappas,Mark S",No,2,61.7
Plumbing/HVAC,203068.0,1401169.2,2020-05-19,Product_2,500 Million - 1 Billion,Category 1,USA,"Davenport-Moline-Rock Island, IA-IL",Angela Miller,CEO,Biomedical engineer,Contact Email,Level 2,No track,"Charles,Caleb",Yes,5,72.8
Insurance,487405.0,2900059.75,2020-05-19,Product_1,500 Million - 1 Billion,Category 2,India,Malegaon Camp,kanchan @ chotu,CEO,Glass blower/designer,Others,Level 3,No track,"Thomas,Lori E",No,2,63.0
Software,494067.0,3409062.3,2020-05-20,Product_2,500 Million - 1 Billion,Category 1,USA,"Glens Falls, NY",Henry Cruz,CEO,"Pilot, airline",Marketing Event,Level 2,No track,"Dimattia,Frank D",No,4,74.0
Venture Capital,84522.0,553619.1,2020-05-20,Product_2,100 - 500 Million,Category 4,USA,"Missoula, MT",Tanya Hernandez,CEO,Nature conservation officer,Others,Level 3,2 days back,"Morsy,Omar A",Yes,2,107.34
Casinos/Gaming,110031.0,687693.75,2020-05-20,Product_1,50 - 100 Million,Category 1,USA,"Winchester, VA-WV",Tami Frost,CEO,Interior and spatial designer,Contact Email,Level 2,No track,"Massiah,Gerard F",Yes,1,65.6
Non-Profit,470403.0,2822418.0,2020-05-20,Product_2,50 - 100 Million,Category 1,India,Haldia,mithi urf mamta,CEO,Patent attorney,Website,Level 1,?,"Knox,Antonio D",Yes,1,60.5
Plastic/Rubber,86370.0,587316.0,2020-05-20,Product_2,100 - 500 Million,Category 1,USA,"Anniston-Oxford-Jacksonville, AL",Jonathan Douglas,CEO,Further education lecturer,Marketing Event,Level 2,No track,"Georgakopoulos,Vasilios T",Yes,3,72.6
Other Investment Firms,176051.0,1029898.35,2020-05-20,Product_2,50 - 100 Million,Category 3,,"Grand Forks, ND-MN",Thomas Moore,CEO,Training and development officer,Others,Level 2,No track,"Pappas,Mark S",Yes,4,26.35
Food Processing,426682.0,2816101.2,2020-05-20,Product_1,100 - 500 Million,Category 4,USA,"Rockford, IL",Mark Foster,CEO,Dentist,Contact Email,Level 1,No track,"Himes,Maurice C",Yes,5,107.34
Materials/Manufacturing,47040.0,282240.0,2020-05-20,Product_1,100 - 500 Million,Category 1,India,Panipat,anuradha,CEO,Broadcast engineer,Marketing Event,Level 1,?,"Abdul-Hamid,Saud Muhamad",Yes,1,57.7
Insurance,463014.0,2963289.6,2020-05-20,Product_2,100 - 500 Million,Category 1,USA,"Tulsa, OK",Thomas Doyle,SVP/General Counsel,"Scientist, research (physical sciences)",Contact Email,Level 2,No track,"Booker,David L",Yes,2,66.1
Banks,347333.0,,2020-05-21,Product_2,50 - 100 Million,Category 3,,Gulbarga,vedehi,CEO,Operations geologist,Marketing Event,Level 1,No track,"Knox,Antonio D",Yes,5,26.35
Movies,349564.0,,2020-05-21,Product_1,500 Million - 1 Billion,Category 3,,"Sheboygan, WI",Kimberly Miller,CEO,"Production assistant, radio",Others,Level 1,More than a week back,"Knox,Antonio D",No,1,64.1
Lending/Mortgage,392488.0,2727791.6,2020-05-21,Product_2,100 - 500 Million,Category 1,USA,"Nashville-Davidson--Murfreesboro--Franklin, TN",Melanie Smith,CEO,"Scientist, audiological",Marketing Event,Level 3,?,"Young,Valerie K",Yes,1,72.1
Apparel Retail,91575.0,595237.5,2020-05-21,Product_1,500 Million - 1 Billion,Category 2,India,Amaravati,razia,CEO,"Scientist, clinical (histocompatibility and immunogenetics)",Website,Level 3,More than a week back,"Logan,Kevin N",No,4,68.5
Auto Parts/Services,21432.0,125377.2,2020-05-21,Product_1,50 - 100 Million,Category 1,USA,"Hickory-Lenoir-Morganton, NC",Amy Flores,CEO,Pension scheme manager,Others,Level 2,more than a month,"Himes,Maurice C",No,2,107.34
Investment Bank/Brokerage,427523.0,2971284.85,2020-05-21,Product_1,100 - 500 Million,Category 4,USA,"Grand Island, NE",Kevin Sullivan,CEO,Clinical molecular geneticist,Others,Level 3,No track,"Hebron,Artenia D",No,5,71.9
Banks,189579.0,1184868.75,2020-05-21,Product_2,50 - 100 Million,Category 3,India,Delhi,sweety,CEO,Translator,Marketing Event,Level 2,,"Gilley,Janine",No,5,64.2
Banks,86384.0,600368.8,2020-05-21,Product_1,50 - 100 Million,Category 1,USA,"Beaumont-Port Arthur, TX",Gary Martinez,CEO,Geographical information systems officer,Website,Level 3,No track,"Massiah,Gerard F",Yes,4,75.1
Real Estate,91777.0,555250.85,2020-05-21,Product_2,50 - 100 Million,Category 3,USA,"Wilmington, NC",Amber Thompson,CEO,"Therapist, horticultural",Contact Email,Level 2,More than a week back,"Anthony,Katherine D",No,4,65.8
Apparel Retail,136495.0,846269.0,2020-05-21,Product_1,100 - 500 Million,Category 3,,"Ann Arbor, MI",Susan Osborn,CEO,Health promotion specialist,Others,Level 2,No track,"Cash,Tyrone J",,5,26.35
Investment Bank/Brokerage,361240.0,2239688.0,2020-05-21,Product_2,100 - 500 Million,Category 4,India,Navsari,manisha,CEO,Metallurgist,Others,Level 2,More than a week back,"Carter Sr,Clifton E",No,3,60.1
Hospitals/Clinics,372980.0,,2020-05-21,Product_2,500 Million - 1 Billion,Category 3,,"Shreveport-Bossier City, LA",Matthew Jennings,CEO,Information officer,Contact Email,Level 3,More than a week back,"Jones,Eyvette W",Yes,5,72.5
Other Biz Services,15638.0,103992.7,2020-05-21,Product_2,50 - 100 Million,Category 4,USA,,Joseph Brown,CEO,"Conservator, museum/gallery",Marketing Event,Level 2,5 days back,"Van Arter,Derrick",No,5,67.7
Wood/Paper,198048.0,1267507.2,2020-05-22,Product_2,50 - 100 Million,Category 3,India,Saugor,smt munna kumari,CEO,Analytical chemist,Marketing Event,Level 3,No track,"Young,Valerie K",No,3,64.8
Banks,127483.0,784020.45,2020-05-22,Product_2,100 - 500 Million,Category 3,USA,"New Bern, NC",Marie Maldonado,CEO,"Surveyor, mining",Others,Level 3,More than a week back,"Thomas,Lori E",No,2,67.1
Banks,296472.0,1867773.6,2020-05-22,Product_1,50 - 100 Million,Category 2,USA,"Lexington-Fayette, KY",William Cantu,CEO,Advertising copywriter,Marketing Event,Level 3,Up-to-date,"Rocks,Michael J",No,2,70.1
Banks,488514.0,3370746.6,2020-05-22,Product_1,500 Million - 1 Billion,Category 2,USA,"Longview, WA",Erik Davis,SVP/General Counsel,Best boy,Website,Level 3,5 days back,"Thomas,Lori E",Yes,5,77.6
Other Consulting,147744.0,,2020-05-22,Product_2,100 - 500 Million,Category 2,India,Mathura,anita,CEO,Trade mark attorney,Contact Email,Level 2,More than a week back,"Morsy,Omar A",No,2,57.6
Technology Consulting,421645.0,2635281.25,2020-05-23,Product_2,50 - 100 Million,Category 4,India,Puri,anjali,CEO,Secondary school teacher,Contact Email,Level 2,more than a month,"Cashin,Marc C",No,3,58.3
Restaurants,263275.0,1513831.25,2020-05-23,Product_2,500 Million - 1 Billion,Category 2,India,Jorhat,jyoti,CEO,Armed forces logistics/support/administrative officer,Website,Level 1,more than a month,"Hanyok,John J",,1,60.900000000000006
Software Consulting,288512.0,2019584.0,2020-05-23,Product_1,50 - 100 Million,Category 4,USA,"Madera, CA",Richard Pearson,CEO,Politician's assistant,Marketing Event,Level 3,?,"Clavey,Therese A",No,4,71.3
Materials/Manufacturing,370651.0,2205373.45,2020-05-23,Product_2,500 Million - 1 Billion,Category 2,India,Chennai,asha,SVP/General Counsel,Research scientist (maths),Website,Level 2,No track,"Bannister,Joan",Yes,2,62.6
Real Estate,,,2020-05-23,Product_2,100 - 500 Million,Category 2,India,Alipurduar,kirti,CEO,Optometrist,Website,Level 1,,"Shelton,Sidney P",No,3,62.7
Lending/Mortgage,209796.0,1300735.2,2020-05-23,Product_1,50 - 100 Million,Category 3,USA,"Buffalo-Cheektowaga-Niagara Falls, NY",Felicia Bell,SVP/General Counsel,Computer games developer,Others,Level 3,No track,"Jones,Michael L",Yes,4,107.34
Banks,405289.0,2289882.85,2020-05-24,Product_2,50 - 100 Million,Category 3,USA,"Austin-Round Rock, TX",Jessica Duke,CEO,Science writer,Others,Level 2,No track,"Davis,Sharrice A",Yes,2,107.34
Financial Services,79873.0,463263.4,2020-05-24,Product_1,100 - 500 Million,Category 1,India,Ajmer,samreen,CEO,Company secretary,Others,Level 1,,"Vickers Jr.,Henry J",No,1,58.7
Services,10101.0,72222.15,2020-05-24,Product_1,100 - 500 Million,Category 1,USA,"Jefferson City, MO",Dennis Rivas,CEO,Cabin crew,Marketing Event,Level 3,2 days back,"Houston,Arnold E",Yes,5,74.4
Finance Software,258672.0,1461496.8,2020-05-24,Product_2,100 - 500 Million,Category 2,India,Moradabad,ankita,CEO,"Exhibitions officer, museum/gallery",Website,Level 1,More than a week back,"Thomas,Lori E",Yes,1,26.35
Architecture/Engineering,208386.0,1312831.8,2020-05-24,Product_2,500 Million - 1 Billion,Category 3,USA,"Charleston-North Charleston, SC",Matthew Collins,CEO,"Engineer, electronics",Contact Email,Level 1,5 days back,"Abdul-Hamid,Saud Muhamad",No,5,26.35
Semiconductors,428127.0,2847044.55,2020-05-24,Product_2,500 Million - 1 Billion,Category 4,India,Raipur,mamta,SVP/General Counsel,Accommodation manager,Contact Email,Level 3,No track,"Gaskins Jr,Franklin D",No,2,59.7
Electric Utilities,259006.0,1670588.7,2020-05-24,Product_1,50 - 100 Million,Category 4,India,Alwar,anjali,SVP/General Counsel,Associate Professor,Marketing Event,Level 2,more than a month,"Houston,Arnold E",Yes,3,61.6
Networking/Comm.,203489.0,1220934.0,2020-05-24,Product_1,50 - 100 Million,Category 3,,Ujjain,rehmati,CEO,Personal assistant,Contact Email,Level 3,More than a week back,"McKenstry,Loretta A",No,1,58.3
Non-Profit,106584.0,623516.4,2020-05-24,Product_1,50 - 100 Million,Category 3,,"Billings, MT",Andrew Jenkins,CEO,Barista,Contact Email,Level 1,No track,"Featherstone,Adrian R",Yes,3,107.34
Non-Profit,205638.0,1192700.4,2020-05-25,Product_2,100 - 500 Million,Category 1,India,Mumbai,sheetal,CEO,Local government officer,Others,Level 1,More than a week back,"Leu,Darren L",No,1,58.7
Non-Profit,36590.0,215881.0,2020-05-25,Product_1,50 - 100 Million,Category 2,USA,"Alexandria, LA",Francisco Hall,SVP/General Counsel,Advertising account planner,Website,Level 1,No track,"Robinson,John C",No,5,68.3
Other Biz Services,385047.0,2483553.15,2020-05-25,Product_1,100 - 500 Million,Category 2,USA,"Little Rock-North Little Rock-Conway, AR",Mr. William Page PhD,CEO,Oncologist,Website,Level 2,More than a week back,"Gould,Lisa D",No,5,73.5
